"","time","ABi","ABo","Tau","Fi","Fo","A","M1","M2","N"
"101",101,7.00306068178485e-06,6.04008915957512e-07,5.76672194775227e-10,3.17614311022721e-10,3.70313590955695e-11,0.234842041586308,0.0299090232227422,0.00700723546994335,0.137959974275508
"102",102,6.99580176922074e-06,6.07926665004451e-07,5.7866361745444e-10,3.17693430409613e-10,3.70646109926777e-11,0.235907704654318,0.0299587192989326,0.00695240966734104,0.137939862574186
"103",103,7.00056090037083e-06,6.11807993889243e-07,5.80107231500192e-10,3.17775152348588e-10,3.70978647119139e-11,0.23697431909224,0.0300078577824701,0.00689841834292414,0.13791975118434
"104",104,7.00259755172965e-06,6.15654024426111e-07,5.81196230063586e-10,3.17858631185658e-10,3.71311205493991e-11,0.238041858800357,0.0300564467929431,0.00684524905486633,0.137899640036916
"105",105,7.00029287109072e-06,6.19465691943709e-07,5.82070259819309e-10,3.17943377543905e-10,3.71643787033774e-11,0.239110298075185,0.0301044943306332,0.00679288954674916,0.137879529086218
"106",106,7.00135831654443e-06,6.23243107972985e-07,5.82763792681755e-10,3.1802912620341e-10,3.71976393247280e-11,0.240179611602907,0.0301520082779985,0.00674132774451252,0.137859418297774
"107",107,6.99794310793992e-06,6.26986407788693e-07,5.83285426052724e-10,3.1811564791748e-10,3.72309025313622e-11,0.241249774452081,0.0301989964011628,0.00669055175390661,0.13783930764496
"108",108,7.00149192620093e-06,6.30695634726358e-07,5.83663807782035e-10,3.18202703177902e-10,3.72641684108891e-11,0.24232076206802,0.030245466351368,0.00664054985803192,0.137819197108356
"109",109,6.99795858372005e-06,6.34371373081857e-07,5.83941122009233e-10,3.18290068840029e-10,3.72974370219514e-11,0.243392550265955,0.0302914256669503,0.0065913105139948,0.13779908667544
"110",110,6.99967976377607e-06,6.38013822620746e-07,5.84150434819071e-10,3.18377584269173e-10,3.73307083962199e-11,0.244465115240492,0.0303368817704964,0.00654282235696208,0.137778976340098
"111",111,6.99371265856551e-06,6.41623511743805e-07,5.84310854044568e-10,3.18465148479587e-10,3.73639825455146e-11,0.245538433556369,0.0303818419715362,0.00649507419580918,0.137758866100929
"112",112,7.00347469861827e-06,6.45200402090573e-07,5.84434568051061e-10,3.18552689357174e-10,3.73972594706463e-11,0.246612482111033,0.0304263134779118,0.00644805499552624,0.137738755959136
"113",113,6.9935807660593e-06,6.48745322829829e-07,5.84529935212323e-10,3.1864015267471e-10,3.743053916447e-11,0.247687237559394,0.0304703035751745,0.00640175360248194,0.137718645917833
"114",114,7.01286925702405e-06,6.52257848906431e-07,5.84603132548626e-10,3.18727499080408e-10,3.74638216123199e-11,0.248762677082192,0.0305138193873204,0.00635615911073885,0.137698535981906
"115",115,7.00022383048829e-06,6.55739224571789e-07,5.84659819273834e-10,3.18814693739883e-10,3.74971067930616e-11,0.24983877578991,0.0305568686866631,0.00631125962211036,0.137678426157915
"116",116,6.99944524592704e-06,6.59189062606225e-07,5.84703122800485e-10,3.18901718566595e-10,3.75303946850416e-11,0.25091551462096,0.0305994574282678,0.00626704602063846,0.137658316452195
"117",117,6.99988965283068e-06,6.62607799964774e-07,5.84735993847589e-10,3.18988556467118e-10,3.75636852635095e-11,0.251992873064026,0.0306415920214431,0.00622350849514849,0.137638206871916
"118",118,7.00000591964506e-06,6.65995744089802e-07,5.84760869191993e-10,3.19075193435284e-10,3.75969785013739e-11,0.253070830336551,0.0306832789619996,0.00618063710220823,0.137618097424827
"119",119,7.00000375374206e-06,6.69353169473235e-07,5.84779623251776e-10,3.19161618843349e-10,3.76302743705306e-11,0.254149366299165,0.0307245245465251,0.006138422203495,0.137597988118887
"120",120,6.99999528737789e-06,6.7268033074134e-07,5.84793626558096e-10,3.19247825060826e-10,3.76635728437541e-11,0.255228462448257,0.0307653345617929,0.00609685494120419,0.137577878961751
"121",121,6.99999801406038e-06,6.75977479524307e-07,5.84803935732889e-10,3.19333806350867e-10,3.76968738931918e-11,0.25630810067454,0.0308057146729185,0.00605592664392833,0.137557769961202
"122",122,7.00001540223183e-06,6.79244951427423e-07,5.84811804496421e-10,3.19419556007418e-10,3.77301774811082e-11,0.257388256903816,0.0308456724122079,0.00601562578230651,0.137537661127762
"123",123,7.00001161218228e-06,6.82483035283185e-07,5.84817876765194e-10,3.19505070901954e-10,3.77634835733885e-11,0.258468910622921,0.0308852142009201,0.00597594252772298,0.13751755247088
"124",124,6.99999308083202e-06,6.85692000973822e-07,5.84822544559968e-10,3.19590349389576e-10,3.7796792137149e-11,0.259550042744506,0.0309243460164117,0.00593686773116139,0.137497443999633
"125",125,6.9999921842218e-06,6.88872113454385e-07,5.84826110446452e-10,3.19675390360412e-10,3.78301031395699e-11,0.260631634601076,0.0309630737065431,0.00589839244194653,0.137477335723062
"126",126,7.00000582423746e-06,6.92023637168856e-07,5.84828826090967e-10,3.1976019301512e-10,3.78634165475861e-11,0.261713667688475,0.0310014030698611,0.00586050778500499,0.137457227650266
"127",127,7.00000690832014e-06,6.95146835609428e-07,5.84830894042872e-10,3.19844756853389e-10,3.78967323279244e-11,0.262796123684261,0.0310393398498547,0.00582320496965204,0.137437119790391
"128",128,6.99999570498438e-06,6.98241969790132e-07,5.84832470404392e-10,3.19929081655668e-10,3.79300504472083e-11,0.263878984503658,0.0310768897174494,0.00578647531638373,0.137417012152599
"129",129,6.99999404176379e-06,7.01309297925271e-07,5.84833672994654e-10,3.20013167432471e-10,3.79633708720393e-11,0.264962232329309,0.0311140582616812,0.00575031027115134,0.137396904746051
"130",130,7.0000030690329e-06,7.04349075932836e-07,5.84834590663177e-10,3.20097014367555e-10,3.79966935690426e-11,0.266045849617679,0.0311508509876684,0.00571470140846414,0.137376797579892
"131",131,7.00000505061735e-06,7.07361557412148e-07,5.84835290863498e-10,3.20180622771998e-10,3.80300185048909e-11,0.26712981909548,0.0311872733177013,0.00567964042972112,0.137356690663246
"132",132,6.99999783341001e-06,7.10346993195557e-07,5.84835825071079e-10,3.20263993051427e-10,3.80633456463187e-11,0.268214123754079,0.0312233305929648,0.00564511916057342,0.137336584005214
"133",133,6.99999572806165e-06,7.13305631403304e-07,5.84836232623992e-10,3.20347125682787e-10,3.80966749601311e-11,0.269298746844477,0.0312590280750851,0.00561112954855664,0.137316477614873
